1,Квартира1Обновлённая,15,25.5,null,55.0,3,2,BAD,BAD,,,,,
2,Квартира1,10,20.5,2026-04-17T15:13:48.301538,50.5,2,1,FINE,GOOD,,,,,
3,Квартира2,15,25.0,2026-04-17T15:13:48.301570,60.0,3,2,BAD,STREET,,,,,
4,Квартира7,12,20.7,2026-04-18T16:59:29.913512,50.5,2,4,FINE,GOOD,,,,,
5,Квартира1,454,334.0,2026-04-22T19:50:26.808830,34.0,,2,FINE,BAD,,,,,
6,Квартира1,10,20.5,2026-04-23T00:46:23.615355,50.5,2,1,FINE,GOOD,,,,,
7,Квартира1,10,20.5,2026-04-24T21:53:16.910685,50.5,2,1,FINE,GOOD,,,,,
8,Квартира1,10,20.5,2026-04-25T14:44:13.325644,50.5,2,1,FINE,GOOD,,,,,
9,Квартира1,10,20.5,2026-04-25T15:51:41.746929,50.5,2,1,FINE,GOOD,,,,,
10,Квартира1,10,20.5,2026-04-25T16:40:46.878011,50.5,2,1,FINE,GOOD,,,,,
11,Квартира1,10,20.5,null,50.5,2,1,FINE,GOOD,,,,,
